Trip ID,Route ID,Stop ID,Stop Sequence,Arrival Time (Epoch),Delay (Seconds)
1088184,462,101076,5,1782724966,0
1088184,462,26,6,1782725094,0
1088188,462,101626,23,1782723390,0
1088188,462,101834,24,1782723496,0
1088188,462,101082,25,1782723692,0
1088188,462,101081,26,1782723716,0
1088188,462,101080,27,1782723733,0
1088188,462,22,28,1782723767,0
1088188,462,25,29,1782723808,0
1088188,462,101075,30,1782723943,0
1088188,462,59,31,1782723993,0
1088188,462,66,32,1782724091,0
1088188,462,81,33,1782724169,0
1088188,462,100016,999,1782724201,0
1088204,491,101131,999,1782723720,0
1088204,491,101130,2,1782723780,0
1088204,491,101128,3,1782723848,0
1088204,491,100841,4,1782723880,0
1088204,491,101125,5,1782723914,0
1088204,491,101219,6,1782724024,0
1088204,491,101223,7,1782724068,0
1088204,491,101225,8,1782724114,0
1088204,491,101227,9,1782724143,0
1088204,491,101228,10,1782724175,0
1088204,491,101229,11,1782724227,0
1088204,491,101230,12,1782724278,0
1088204,491,101231,13,1782724322,0
1088204,491,101232,14,1782724351,0
1088204,491,101233,15,1782724402,0
1088204,491,101234,16,1782724447,0
1088204,491,101235,17,1782724483,0
1088204,491,101236,18,1782724579,0
1088204,491,101237,19,1782724635,0
1088204,491,101238,20,1782724698,0
1088204,491,101239,21,1782724763,0
1088204,491,101240,22,1782724822,0
1088204,491,101241,23,1782724862,0
1088204,491,101242,24,1782724918,0
1088204,491,101243,25,1782724980,0
1088204,491,101244,26,1782725036,0
1088204,491,101226,27,1782725083,0
1088204,491,101224,28,1782725156,0
1088204,491,101220,29,1782725201,0
1088204,491,101124,30,1782725279,0
1088204,491,101126,31,1782725342,0
1088204,491,101127,32,1782725423,0
1088204,491,101129,33,1782725510,0
1088204,491,101131,999,1782725579,0
1088219,492A,101128,3,1782723372,0
1088219,492A,100841,4,1782723429,0
1088219,492A,101125,5,1782723456,0
1088219,492A,101199,6,1782723530,0
1088219,492A,101201,7,1782723556,0
1088219,492A,101651,8,1782723601,0
1088219,492A,101650,9,1782723660,0
1088219,492A,101649,10,1782723706,0
1088219,492A,101648,11,1782723743,0
1088219,492A,101647,12,1782723798,0
1088219,492A,101646,13,1782723839,0
1088219,492A,101645,14,1782723904,0
1088219,492A,101642,15,1782723935,0
1088219,492A,101641,16,1782723958,0
1088219,492A,101640,17,1782724013,0
1088219,492A,101639,18,1782724039,0
1088219,492A,101638,19,1782724062,0
1088219,492A,101202,20,1782724081,0
1088219,492A,101200,21,1782724100,0
1088219,492A,101124,22,1782724147,0
1088219,492A,101126,23,1782724191,0
1088219,492A,101127,24,1782724236,0
1088219,492A,101129,25,1782724284,0
1088219,492A,101131,999,1782724362,0
1088220,492A,101131,999,1782724560,0
1088220,492A,101130,2,1782724620,0
1088220,492A,101128,3,1782724688,0
1088220,492A,100841,4,1782724760,0
1088220,492A,101125,5,1782724800,0
1088220,492A,101199,6,1782724848,0
1088220,492A,101201,7,1782724883,0
1088220,492A,101651,8,1782724913,0
1088220,492A,101650,9,1782724967,0
1088220,492A,101649,10,1782725008,0
1088220,492A,101648,11,1782725051,0
1088220,492A,101647,12,1782725098,0
1088220,492A,101646,13,1782725129,0
1088220,492A,101645,14,1782725166,0
1088277,H22,6461,1,1782724320,0
1088277,H22,6657,2,1782724355,0
1088277,H22,6655,3,1782724371,0
1088277,H22,6653,4,1782724400,0
1088277,H22,6651,5,1782724431,0
1088277,H22,6647,6,1782724462,0
1088277,H22,6636,7,1782724524,0
1088277,H22,6631,8,1782724559,0
1088277,H22,6625,9,1782724595,0
1088277,H22,6624,10,1782724623,0
1088277,H22,6621,11,1782724680,0
1088277,H22,6618,12,1782724704,0
1088277,H22,6617,13,1782724735,0
1088277,H22,6626,14,1782724746,0
1088277,H22,100325,15,1782724809,0
1088277,H22,100323,16,1782724860,0
1088277,H22,3362,17,1782724920,0
1088277,H22,3359,18,1782724956,0
1088277,H22,3380,19,1782725005,0
1088277,H22,3374,20,1782725050,0
1088277,H22,3448,21,1782725171,0
1088277,H22,6594,22,1782725235,0
1088277,H22,6591,23,1782725276,0
1088277,H22,6589,24,1782725320,0
1088277,H22,6586,25,1782725373,0
1088277,H22,6582,26,1782725418,0
1088277,H22,6579,27,1782725522,0
1088277,H22,6577,28,1782725546,0
1088277,H22,6576,29,1782725597,0
1088277,H22,100699,30,1782725748,0
1088277,H22,3484,31,1782725795,0
1088277,H22,3480,32,1782725837,0
1088277,H22,3461,33,1782725950,0
1088277,H22,3443,34,1782726099,0
1088277,H22,3438,35,1782726185,0
1088284,H22,6582,26,1782723364,0
1088284,H22,6579,27,1782723508,0
1088284,H22,6577,28,1782723533,0
1088284,H22,6576,29,1782723566,0
1088284,H22,100699,30,1782723635,0
1088284,H22,3484,31,1782723708,0
1088284,H22,3480,32,1782723766,0
1088284,H22,3461,33,1782723889,0
1088284,H22,3443,34,1782724070,0
1088284,H22,3438,35,1782724174,0
1088284,H22,6605,36,1782724307,0
1088284,H22,6604,37,1782724363,0
1088284,H22,6592,38,1782724418,0
1088284,H22,6570,39,1782724471,0
1088284,H22,6569,40,1782724502,0
1088284,H22,6565,41,1782724567,0
1088284,H22,6563,42,1782724624,0
1088284,H22,6561,43,1782724709,0
1088284,H22,6558,44,1782724762,0
1088284,H22,6556,45,1782724836,0
1088284,H22,6554,46,1782724869,0
1088284,H22,6552,47,1782724931,0
1088284,H22,6547,48,1782725000,0
1088284,H22,6543,49,1782725084,0
1088284,H22,6537,50,1782725164,0
1088288,H22,6558,28,1782723459,0
1088288,H22,6556,29,1782723580,0
1088288,H22,6554,30,1782723616,0
1088288,H22,6552,31,1782723663,0
1088288,H22,6547,32,1782723709,0
1088288,H22,6543,33,1782723778,0
1088288,H22,6537,34,1782723831,0
1088288,H22,6533,35,1782723889,0
1088288,H22,6531,36,1782723939,0
1088288,H22,6560,37,1782723978,0
1088288,H22,6587,38,1782724007,0
1088288,H22,6642,39,1782724065,0
1088288,H22,6649,999,1782724088,0
1088292,H22,3440,22,1782723364,0
1088292,H22,3449,23,1782723499,0
1088292,H22,3466,24,1782723617,0
1088292,H22,3485,25,1782723766,0
1088292,H22,3486,26,1782723798,0
1088292,H22,100700,27,1782723864,0
1088292,H22,6580,28,1782723963,0
1088292,H22,6583,29,1782724028,0
1088292,H22,6584,30,1782724113,0
1088292,H22,6588,31,1782724147,0
1088292,H22,6590,32,1782724196,0
1088292,H22,6593,33,1782724241,0
1088292,H22,6595,34,1782724273,0
1088292,H22,3444,35,1782724388,0
1088292,H22,3381,36,1782724428,0
1088292,H22,3384,37,1782724491,0
1088292,H22,3361,38,1782724540,0
1088292,H22,3363,39,1782724578,0
1088292,H22,100322,40,1782724675,0
1088292,H22,100324,41,1782724716,0
1088292,H22,6629,42,1782724750,0
1088292,H22,6620,43,1782724782,0
1088292,H22,6619,44,1782724810,0
1088292,H22,6622,45,1782724843,0
1088292,H22,6628,46,1782724908,0
1088292,H22,6630,47,1782724948,0
1088292,H22,6633,48,1782724982,0
1088292,H22,6637,49,1782725026,0
1088292,H22,6639,50,1782725080,0
1088292,H22,6648,51,1782725122,0
1088292,H22,6652,52,1782725182,0
1088292,H22,6654,53,1782725220,0
1088292,H22,6656,54,1782725258,0
1088292,H22,6658,55,1782725284,0
1091702,200,6761,1,1782724860,0
1091702,200,100622,2,1782724926,0
1091702,200,3386,3,1782725056,0
1091702,200,3487,4,1782725160,0
1091702,200,3588,5,1782725280,0
1091706,200,4057,15,1782723391,0
1091706,200,4018,16,1782723478,0
1091706,200,3965,17,1782723532,0
1091706,200,3926,18,1782723575,0
1091706,200,3890,999,1782723616,0
1091748,200,3386,3,1782723389,0
1091748,200,3588,5,1782723464,0
1091748,200,3656,6,1782723537,0
1091748,200,3711,7,1782723603,0
1091748,200,3881,8,1782723787,0
1091748,200,3912,9,1782723827,0
1091748,200,3963,10,1782723867,0
1091748,200,4007,11,1782723916,0
1091748,200,4042,12,1782723980,0
1091748,200,4102,13,1782724016,0
1091748,200,4133,14,1782724042,0
1091748,200,4151,15,1782724088,0
1091748,200,4177,16,1782724115,0
1091748,200,4216,17,1782724151,0
1091748,200,4264,18,1782724184,0
1091748,200,4302,19,1782724212,0
1091748,200,4359,20,1782724262,0
1091748,200,4391,21,1782724293,0
1091748,200,4442,22,1782724334,0
1091748,200,4510,23,1782724386,0
1091748,200,4552,24,1782724419,0
1091748,200,4584,25,1782724455,0
1091748,200,4631,26,1782724504,0
1091748,200,4660,27,1782724527,0
1091748,200,4700,28,1782724573,0
1091748,200,4788,29,1782724611,0
1091748,200,4826,30,1782724649,0
1091748,200,4863,31,1782724685,0
1091748,200,101413,32,1782724724,0
1091750,200,4700,28,1782723376,0
1091750,200,4788,29,1782723419,0
1091750,200,4826,30,1782723467,0
1091750,200,4863,31,1782723499,0
1091750,200,101413,32,1782723527,0
1091750,200,4882,33,1782723564,0
1091750,200,4887,34,1782723585,0
1091750,200,4888,35,1782723654,0
1091750,200,4914,36,1782723688,0
1091750,200,4940,37,1782723710,0
1091750,200,4980,38,1782723731,0
1091750,200,5011,39,1782723753,0
1091750,200,5015,40,1782723784,0
1091750,200,5029,41,1782723837,0
1091750,200,5065,42,1782723872,0
1091750,200,5150,43,1782723964,0
1091750,200,5218,44,1782724031,0
1091750,200,5246,45,1782724061,0
1091750,200,5298,46,1782724197,0
1091750,200,5285,47,1782724240,0
1091750,200,5251,48,1782724273,0
1091750,200,5204,49,1782724326,0
1091750,200,5162,50,1782724355,0
1091750,200,5120,51,1782724355,0
1091750,200,5101,999,1782724422,0
1091777,200B,5132,10,1782723384,0
1091777,200B,5063,11,1782723464,0
1091777,200B,5012,12,1782723570,0
1091777,200B,5010,13,1782723588,0
1091777,200B,4970,14,1782723605,0
1091777,200B,4951,15,1782723631,0
1091777,200B,4912,16,1782723660,0
1091777,200B,4876,17,1782723705,0
1091777,200B,4886,18,1782723800,0
1091777,200B,4881,19,1782723822,0
1091777,200B,101414,20,1782723853,0
1091777,200B,4864,21,1782723889,0
1091777,200B,4827,22,1782723924,0
1091777,200B,4790,23,1782723951,0
1091777,200B,4690,24,1782724063,0
1091777,200B,4673,25,1782724146,0
1091777,200B,4638,26,1782724182,0
1091777,200B,4591,27,1782724227,0
1091777,200B,4559,28,1782724268,0
1091777,200B,4517,29,1782724276,0
1091777,200B,4469,30,1782724322,0
1091777,200B,4402,31,1782724362,0
1091777,200B,4367,32,1782724410,0
1091777,200B,4316,33,1782724449,0
1091777,200B,4256,34,1782724505,0
1091777,200B,4178,35,1782724604,0
1091777,200B,4155,36,1782724633,0
1091777,200B,4139,37,1782724667,0
1091777,200B,4094,38,1782724708,0
1091777,200B,4057,39,1782724744,0
1091777,200B,4018,40,1782724788,0
1091777,200B,3965,41,1782724844,0
1091777,200B,3926,42,1782724872,0
1091777,200B,3890,999,1782724911,0
1091819,200C,6761,1,1782723960,0
1091819,200C,100622,2,1782723984,0
1091819,200C,3386,3,1782724069,0
1091819,200C,3487,4,1782724174,0
1091819,200C,3588,5,1782724351,0
1091819,200C,3656,6,1782724421,0
1091819,200C,3711,7,1782724481,0
1091819,200C,3881,8,1782724714,0
1091819,200C,3912,9,1782724772,0
1091819,200C,3963,10,1782724823,0
1091819,200C,4007,11,1782724862,0
1091819,200C,4042,12,1782724919,0
1091819,200C,4102,13,1782724963,0
1091819,200C,4133,14,1782724997,0
1091819,200C,4151,15,1782725027,0
1091819,200C,4177,16,1782725065,0
1091819,200C,4216,17,1782725094,0
1091819,200C,4264,18,1782725117,0
1091820,200C,4177,16,1782723386,0
1091820,200C,4216,17,1782723417,0
1091820,200C,4264,18,1782723526,0
1091820,200C,4302,19,1782723560,0
1091820,200C,4359,20,1782723634,0
1091820,200C,4391,21,1782723663,0
1091820,200C,4442,22,1782723714,0
1091820,200C,4510,23,1782723768,0
1091820,200C,4552,24,1782723793,0
1091820,200C,4584,25,1782723828,0
1091820,200C,4631,26,1782723857,0
1091820,200C,4660,27,1782723879,0
1091820,200C,4685,28,1782723915,0
1091820,200C,4680,29,1782723943,0
1091820,200C,4692,30,1782723963,0
1091820,200C,4718,999,1782723989,0
1091956,206,1947,1,1782726240,0
1091956,206,101105,2,1782726284,0
1091956,206,101671,3,1782726355,0
1091956,206,101673,4,1782726437,0
1091956,206,101675,5,1782726500,0
1091956,206,2104,6,1782726527,0
1091956,206,2178,7,1782726587,0
1091956,206,2229,8,1782726622,0
1091956,206,2313,9,1782726688,0
1091956,206,2323,10,1782726730,0
1091956,206,2410,11,1782726780,0
